Author,"Wodehouse, P. G. (Pelham Grenville), 1881-1975"
Title,Uneasy Money
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"New York (N.Y.) -- Fiction, Humorous stories, Inheritance and succession -- Fiction, Love stories, Aristocracy (Social class) -- Fiction, British -- United States -- Fiction"
Category,Text
EBook-No.,6684
Release Date,"Oct 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,177 downloads in the last 30 days.
Price,$0.00
