Author,"Leacock, Stephen, 1869-1944"
Title,Winsome Winnie and other New Nonsense Novels
Contents,"Winsome Winnie; or, Trial and temptation -- John and I; or How I nearly lost my husband -- The split in the cabinet; or, The fate of England -- Who do you think did it? or, The mixed-up murder mystery -- Broken barriers; or, Red love on a blue island -- The kidnapped plumber; a tale of the new time -- The blue and the grey; a pre-war war story -- Buggam Grange; a good old ghost story."
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Parodies, Humorous stories, Canadian"
Category,Text
EBook-No.,20633
Release Date,"Feb 20, 2007"
Copyright Status,Public domain in the USA.
Downloads,44 downloads in the last 30 days.
Price,$0.00
