Author,"Cervantes Saavedra, Miguel de, 1547-1616"
Title,Wit and Wisdom of Don Quixote
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Cervantes Saavedra, Miguel de, 1547-1616 -- Quotations, Proverbs, Spanish, Cervantes Saavedra, Miguel de, 1547-1616 -- Translations into English"
Category,Text
EBook-No.,24754
Release Date,"Mar 4, 2008"
Copyright Status,Public domain in the USA.
Downloads,51 downloads in the last 30 days.
Price,$0.00
