Author,"Collins, Wilkie, 1824-1889"
Title,The Woman in White
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Inheritance and succession -- Fiction, England -- Fiction, Psychological fiction, Love stories, Country homes -- Fiction, Gothic fiction, Nobility -- Fiction, Deception -- Fiction, Art teachers -- Fiction, Psychiatric hospital patients -- Fiction"
Category,Text
EBook-No.,583
Release Date,"Jul 1, 1996"
Copyright Status,Public domain in the USA.
Downloads,1607 downloads in the last 30 days.
Price,$0.00
