Author,"Poe, Edgar Allan, 1809-1849"
Title,The Works of Edgar Allan Poe — Volume 4
Contents,"The devil in the belfry -- Lionizing -- X-ing a paragrab -- Metzengerstein -- The system of Doctor Tarr and Professor Fether -- The literary life of Thingum Bob, Esq. -- How to write a Blackwood article -- A predicament -- Mystification -- Diddling -- The Angel of the Odd -- Mellonia tauta -- The Duc De L'Omlette -- The oblong box -- Loss of breath -- The man that was used up -- The business man -- The landscape garden -- Maelzel's chess-player -- The power of words -- The colloquy of Monas and Una -- The conversation of Eiros and Charmion -- Shadow: a parable."
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Short stories, Fantasy fiction, Horror tales, American, American fiction -- 19th century"
Category,Text
EBook-No.,2150
Release Date,"Apr 1, 2000"
Copyright Status,Public domain in the USA.
Downloads,520 downloads in the last 30 days.
Price,$0.00
