Author,"Verne, Jules, 1828-1905"
Uniform Title,Vingt mille lieues sous les mers. English
Title,"20,000 Leagues under the Sea"
Alternate Title,Twenty Thousand Leagues Under the Sea
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Science fiction, Submarines (Ships) -- Fiction, Sea stories, Adventure stories, Underwater exploration -- Fiction"
Category,Sound
EBook-No.,6538
Release Date,"Sep 1, 2004"
Copyright Status,Copyrighted. Read the copyright notice inside this book for details.
Downloads,61 downloads in the last 30 days.
Price,$0.00
