Author,"Verne, Jules, 1828-1905"
Uniform Title,Voyage au centre de la terre. English
Title,A Journey to the Centre of the Earth
Imprint,"Griffith and Farran, 1871"
Note,English re-write version. See PG#3748 for the authentic translation version.
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Science fiction, Adventure stories, Earth (Planet) -- Core -- Fiction, Voyages, Imaginary -- Fiction"
Category,Text
EBook-No.,18857
Release Date,"Jul 18, 2006"
Copyright Status,Public domain in the USA.
Downloads,1598 downloads in the last 30 days.
Price,$0.00
