Author,"Verne, Jules, 1828-1905"
Translator,"Roth, Edward, 1826-1911"
Title,All Around the Moon
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Science fiction, Space flight to the moon -- Fiction, Moon -- Fiction, Space ships -- Fiction, Manned space flight -- Fiction"
Category,Text
EBook-No.,16457
Release Date,"Aug 6, 2005"
Copyright Status,Public domain in the USA.
Downloads,232 downloads in the last 30 days.
Price,$0.00
