Author,"Farley, Ralph Milne, 1887-1963"
Title,"An Earthman on Venus (Originally titled ""The Radio Man"")"
Alternate Title,(The Radio Man): An Earth Man on Venus
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Life on other planets -- Fiction, Venus (Planet) -- Fiction"
Category,Text
EBook-No.,52167
Release Date,"May 27, 2016"
Copyright Status,Public domain in the USA.
Downloads,62 downloads in the last 30 days.
Price,$0.00
