Author,"Stecher, L. J., Jr., 1918-1988"
Illustrator,"Francis, Dick"
Title,An Elephant for the Prinkip
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Space ships -- Fiction, Interstellar travel -- Fiction, Elephants -- Fiction, Hannah, Bart (Fictitious character) -- Fiction"
Category,Text
EBook-No.,51434
Release Date,"Mar 13, 2016"
Copyright Status,Public domain in the USA.
Downloads,30 downloads in the last 30 days.
Price,$0.00
