Author,"Sharkey, Jack, 1931-1992"
Illustrator,"Schelling, George, 1938-"
Title,Arcturus Times Three
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Human-alien encounters -- Fiction, Life on other planets -- Fiction, Norcriss, Jerry (Fictitious character) -- Fiction"
Category,Text
EBook-No.,51822
Release Date,"Apr 21, 2016"
Copyright Status,Public domain in the USA.
Downloads,39 downloads in the last 30 days.
Price,$0.00
