Contributor,"Burks, Arthur J., 1898-1974, Cummings, Ray, 1887-1957, Curry, Tom, 1900-1976, Knight, Thomas H., 1892-1949, Meek, S. P. (Sterner St. Paul), 1894-1972"
Creator,"Pelcher, Anthony, 1897-1981"
Editor,"Bates, Harry, 1900-1981"
Title,Astounding Stories of Super-Science April 1930
Contents,"The Man Who Was Dead / Thomas H. KnightMonsters of Moyen / Arthur J. BurksVampires of Venus / Anthony PelcherBrigands of the Moon (Part 2 of 4) / Ray CummingsThe Soul Snatcher / Tom CurryThe Ray of Madness / S. P. Meek"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,29390
Release Date,"Jul 12, 2009"
Copyright Status,Public domain in the USA.
Downloads,126 downloads in the last 30 days.
Price,$0.00
