Author,Various
Editor,"Bates, Harry, 1900-1981"
Title,Astounding Stories of Super-Science July 1930
Contents,"Beyond the Heaviside Layer / S. P. MeekEarth, the Marauder (Part 1 of 3) / Arthur J. BurksFrom an Amber Block / Tom CurryThe Terror of Air-Level Six / Harl VincentThe Forgotten Planet / Sewell Peaslee WrightThe Power and the Glory / Charles Willard DiffinMurder Madness (Part 3 of 4) / Murray Leinster"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,29198
Release Date,"Jun 21, 2009"
Copyright Status,Public domain in the USA.
Downloads,70 downloads in the last 30 days.
Price,$0.00
