Author,Various
Editor,"Bates, Harry, 1900-1981"
Title,Astounding Stories of Super-Science September 1930
Contents,"A Problem in Communication / Miles J. Breuer, M.D. -- Jetta of the Lowlands (Part 1 of 3) / Ray Cummings -- The Terrible Tentacles of L-472 / Sewell Peaslee Wright -- Marooned Under the Sea / Paul Ernst -- The Murder Machine / Hugh B. Cave -- The Attack From Space / S. P. Meek -- Earth, the Marauder (Part 3 of 3) / Arthur J. Burks"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,29255
Release Date,"Jun 27, 2009"
Copyright Status,Public domain in the USA.
Downloads,115 downloads in the last 30 days.
Price,$0.00
