Author,Various
Editor,"Bates, Harry, 1900-1981"
Title,"Astounding Stories of Super-Science, August 1930"
Contents,"The Planet of Dread / R. F. StarzlThe Lord of Space / Victor RousseauThe Second Satellite / Edmond HamiltonSilver Dome / Harl VincentEarth, the Marauder (Part 2 of 3) / Arthur J. BurksMurder Madness (Part 4 of 4) / Murray LeinsterThe Flying City / H. Thompson Rich"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,29768
Release Date,"Aug 23, 2009"
Copyright Status,Public domain in the USA.
Downloads,88 downloads in the last 30 days.
Price,$0.00
