Author,Various
Editor,"Bates, Harry, 1900-1981"
Title,"Astounding Stories of Super-Science, December 1930"
Contents,"Slaves of the Dust / Sophie Wenzel EllisThe Pirate Planet (Part 2 of 4) / Charles Willard DiffinThe Sea Terror / S. P. MeekGray Denim / Harl VincentThe Ape-Men of Xlotli / David R. Sparks"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,30691
Release Date,"Dec 17, 2009"
Copyright Status,Public domain in the USA.
Downloads,84 downloads in the last 30 days.
Price,$0.00
