Author,Various
Editor,"Bates, Harry, 1900-1981"
Title,"Astounding Stories of Super-Science, March 1930"
Contents,"Cold Light / S. P. MeekBrigands of the Moon (Part 1 of 4) / Ray CummingsThe Soul Master / Will Smith and R. J. RobbinsFrom the Ocean's Depths / Sewell Peaslee WrightVandals of the Stars / A. T. Locke"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,29607
Release Date,"Aug 4, 2009"
Copyright Status,Public domain in the USA.
Downloads,91 downloads in the last 30 days.
Price,$0.00
