Author,Various
Editor,"Bates, Harry, 1900-1981"
Title,"Astounding Stories of Super-Science, May, 1930"
Contents,"Into the Ocean's Depths / Sewell Peaslee Wright Murder Madness (Part 1 of 4) / Murray LeinsterBrigands of the Moon (Part 3 of 4) / Ray CummingsThe Jovian Jest / Lilith Lorraine The Atom-Smasher / Victor Rousseau"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,29809
Release Date,"Aug 26, 2009"
Copyright Status,Public domain in the USA.
Downloads,76 downloads in the last 30 days.
Price,$0.00
