Author,Various
Editor,"Bates, Harry, 1900-1981"
Title,"Astounding Stories of Super-Science, November, 1930"
Contents,"The Wall of Death / Victor Rousseau The Pirate Planet (Part 1 of 4) / Charles Willard DiffinThe Destroyer / William Merriam Rouse The Gray Plague / Lloyd Arthur EshbachJetta of the Lowlands (Part 3 of 3) / Ray Cummings Vagabonds of Space / Harl Vincent"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,29919
Release Date,"Sep 6, 2009"
Copyright Status,Public domain in the USA.
Downloads,70 downloads in the last 30 days.
Price,$0.00
