Author,Various
Editor,"Bates, Harry, 1900-1981"
Title,"Astounding Stories,  April, 1931"
Contents,"Monsters of Mars / Edmond HamiltonThe Exile of Time (Part 1 of 4) / Ray CummingsHell's Dimension / Tom CurryThe World Behind the Moon / Paul ErnstFour Miles Within / Anthony GilmoreThe Lake of Light / Jack WilliamsonThe Ghost World / Sewell Peaslee Wright"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,30452
Release Date,"Nov 11, 2009"
Copyright Status,Public domain in the USA.
Downloads,188 downloads in the last 30 days.
Price,$0.00
