Author,Various
Title,"Astounding Stories,  August, 1931"
Contents,The Danger from the Deep / Ralph Milne Farley -- Brood of the Dark Moon / Charles Willard Diffin -- If the Sun Died / R. F. Starzl -- The Midget from the Island / H. G. Winter -- The Moon Weed / Harl Vincent -- The Port of Missing Planes / Captain S. P. Meek
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,33016
Release Date,"Jun 28, 2010"
Copyright Status,Public domain in the USA.
Downloads,73 downloads in the last 30 days.
Price,$0.00
