Author,Various
Title,"Astounding Stories, June, 1931"
Contents,"The Man from 2071 / Sewell Peaslee WrightManape the Mighty / Arthur J. BurksHolocaust / Charles Willard DiffinThe Earthman's Burden / R.F. StarzlThe Exile of Time / Ray CummingsThe Readers' Corner."
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,31893
Release Date,"Apr 5, 2010"
Copyright Status,Public domain in the USA.
Downloads,87 downloads in the last 30 days.
Price,$0.00
