Author,Various
Editor,"Bates, Harry, 1900-1981"
Title,"Astounding Stories, May, 1931"
Contents,Dark Moon / Charles Willard Diffin -- When Caverns Yawned / S. P. Meek -- The Exile of Time (Part 2 of 4) / Ray Cummings -- When the Moon Turned Green / Hal K. Wells -- The Death-Cloud / Nat Schachner and Arthur Leo Zagat
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,30532
Release Date,"Nov 23, 2009"
Copyright Status,Public domain in the USA.
Downloads,98 downloads in the last 30 days.
Price,$0.00
