Author,"Benoît, Pierre, 1886-1962"
Translator,"Ross, Mary, Tongue, Mary Van Arsdale, 1891-"
Uniform Title,L'Atlantide. English
Title,Atlantida
Note,Translation of: L'Atlantide
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Science fiction, Fantasy fiction, Atlantis (Legendary place) -- Fiction, French fiction -- 20th century -- Translations into English"
Category,Text
EBook-No.,14301
Release Date,"Dec 8, 2004"
Copyright Status,Public domain in the USA.
Downloads,55 downloads in the last 30 days.
Price,$0.00
