Author,"Serviss, Garrett Putman, 1851-1929"
Title,Curiosities of the Sky
Contents,"The windows of absolute night -- Star-clouds, star-clusters, and star-streams -- Stellar migrations -- The passing of the constellations -- Conflagrations in the heavens -- Explosive and whirling nebulae -- The banners of the sun -- The zodiacal light mystery -- Marvels of the aurora -- Strange adventures of comets -- Meteors, fire-balls, and meteorites -- The wrecking of the moon -- The great Mars problem -- The riddle of the asteroids."
Language,English
LoC Class,QB: Science: Astronomy
Subject,Astronomy
Category,Text
EBook-No.,6630
Release Date,"Oct 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,127 downloads in the last 30 days.
Price,$0.00
