Author,"Rockwell, Carey"
Contributor,"Ley, Willy, 1906-1969"
Illustrator,"Glanzman, Louis"
LoC No.,53008503
Title,Danger in Deep Space
Language,English
LoC Class,PZ: Language and Literatures: Juvenile belles lettres
Subject,"Science fiction, Astronauts -- Juvenile fiction, Corbett, Tom (Fictitious character) -- Juvenile fiction, Interstellar travel -- Juvenile fiction"
Category,Text
EBook-No.,19709
Release Date,"Nov 4, 2006"
Copyright Status,Public domain in the USA.
Downloads,89 downloads in the last 30 days.
Price,$0.00
