Author,"Doctorow, Cory, 1971-"
Title,Eastern Standard Tribe
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Bildungsromans, Young men -- Fiction, Conspiracies -- Fiction, Europe -- Fiction, Americans -- Europe -- Fiction, Secret societies -- Fiction, Time -- Systems and standards -- Fiction, Business consultants -- Fiction, Sleep-wake cycle -- Fiction"
Category,Text
EBook-No.,17028
Release Date,"Nov 20, 2005"
Copyright Status,Copyrighted. Read the copyright notice inside this book for details.
Downloads,57 downloads in the last 30 days.
Price,$0.00
