Author,"Abbott, Edwin Abbott, 1838-1926"
Title,Flatland: A Romance of Many Dimensions
Note,"Project Gutenberg has several editions of this eBook:#201    (Illustrated HTML file with table of contents)#45506  (Illustrated HTML file with table of contents)#97     (Text file)"
Language,English
LoC Class,QA: Science: Mathematics
Subject,Fourth dimension
Category,Text
EBook-No.,97
Release Date,"Jan 1, 1994"
Copyright Status,Public domain in the USA.
Downloads,319 downloads in the last 30 days.
Price,$0.00
