Author,"Verne, Jules, 1828-1905"
Title,From the Earth to the Moon
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Science fiction, Space flight to the moon -- Fiction, Moon -- Fiction, Space ships -- Fiction, Manned space flight -- Fiction"
Category,Sound
EBook-No.,8986
Release Date,"Sep 1, 2005"
Copyright Status,Copyrighted. Read the copyright notice inside this book for details.
Downloads,136 downloads in the last 30 days.
Price,$0.00
