Author,"De Vet, Charles V., 1911-1997"
Illustrator,Turpin
Title,Growing up on Big Muddy
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Extraterrestrial beings -- Fiction, Diseases -- Fiction, Human-alien encounters -- Fiction, Explorers -- Fiction, Extrasolar planets -- Fiction"
Category,Text
EBook-No.,51398
Release Date,"Mar 8, 2016"
Copyright Status,Public domain in the USA.
Downloads,35 downloads in the last 30 days.
Price,$0.00
