Author,"Rockwood, Roy"
Title,"Lost on the Moon; Or, in Quest of the Field of Diamonds"
Note,Great Marvel Series: Volume 5
Language,English
LoC Class,"PZ: Language and Literatures: Juvenile belles lettres, PS: Language and Literatures: American and Canadian literature"
Subject,"Science fiction, Diamonds -- Fiction, Moon -- Exploration -- Fiction"
Category,Text
EBook-No.,7473
Release Date,"Feb 1, 2005"
Copyright Status,Public domain in the USA.
Downloads,28 downloads in the last 30 days.
Price,$0.00
