Author,"Stecher, L. J., Jr., 1918-1988"
Illustrator,"Emshwiller, Ed, 1925-1990"
Title,Man in a Sewing Machine
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Husband and wife -- Fiction, Artificial intelligence -- Fiction, Computers -- Fiction, Questions and answers -- Fiction"
Category,Text
EBook-No.,50936
Release Date,"Jan 15, 2016"
Copyright Status,Public domain in the USA.
Downloads,32 downloads in the last 30 days.
Price,$0.00
