Author,"Garrett, Randall, 1927-1987, Janifer, Laurence M., 1933-2002"
Illustrator,"Van Dongen, H. R., 1920-2010"
Title,Occasion for Disaster
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Parapsychology -- Fiction, Telepathy -- Fiction, United States. Federal Bureau of Investigation -- Fiction"
Category,Text
EBook-No.,30434
Release Date,"Nov 9, 2009"
Copyright Status,Public domain in the USA.
Downloads,36 downloads in the last 30 days.
Price,$0.00
