Author,"Stecher, L. J., Jr., 1918-1988"
Illustrator,"Francis, Dick"
Title,Perfect Answer
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Human-alien encounters -- Fiction, Explorers -- Fiction, Artificial intelligence -- Fiction, Interstellar travel -- Fiction, Computers -- Fiction, Questions and answers -- Fiction"
Category,Text
EBook-No.,51482
Release Date,"Mar 17, 2016"
Copyright Status,Public domain in the USA.
Downloads,32 downloads in the last 30 days.
Price,$0.00
