Author,"McCann, Edson"
Illustrator,"Kossin, Sandy"
Title,Preferred Risk
Note,By Frederik Pohl & Lester del Rey writing as Edson McCann.
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Love stories, Nuclear warfare -- Fiction, Cryonics -- Fiction, Insurance companies -- Fiction"
Category,Text
EBook-No.,51814
Release Date,"Apr 21, 2016"
Copyright Status,Public domain in the USA.
Downloads,68 downloads in the last 30 days.
Price,$0.00
