Author,"Rockwell, Carey"
Contributor,"Ley, Willy, 1906-1969"
Illustrator,"Glanzman, Louis"
LoC No.,55001196
Title,Sabotage in Space
Language,English
LoC Class,PZ: Language and Literatures: Juvenile belles lettres
Subject,"Science fiction, Astronauts -- Juvenile fiction, Corbett, Tom (Fictitious character) -- Juvenile fiction, Space colonies -- Juvenile fiction, Sabotage -- Juvenile fiction"
Category,Text
EBook-No.,18520
Release Date,"Jun 6, 2006"
Copyright Status,Public domain in the USA.
Downloads,40 downloads in the last 30 days.
Price,$0.00
