Author,"Rockwell, Carey"
Contributor,"Ley, Willy, 1906-1969"
Illustrator,"Glanzman, Louis"
LoC No.,52014369
Title,Stand by for Mars!
Language,English
LoC Class,PZ: Language and Literatures: Juvenile belles lettres
Subject,"Science fiction, Astronauts -- Juvenile fiction, Interplanetary voyages -- Juvenile fiction, Corbett, Tom (Fictitious character) -- Juvenile fiction, Mars (Planet) -- Juvenile fiction"
Category,Text
EBook-No.,19526
Release Date,"Oct 11, 2006"
Copyright Status,Public domain in the USA.
Downloads,85 downloads in the last 30 days.
Price,$0.00
