Author,"Wells, H. G. (Herbert George), 1866-1946"
Title,"The Country of the Blind, and Other Stories"
Contents,The jilting of Jane -- The cone -- The stolen bacillus -- The flowering of the strange orchid -- In the Avu Observatory -- Aepyornis Island -- The remarkable case of Davidson's eyes -- The Lord of the Dynamos -- The moth -- The treasure in the forest -- The story of the late Mr. Elvesham -- Under the knife -- The sea raiders -- The obliterated man -- The Plattner story -- The red room -- The purple Pileus -- A slip under the microscope -- The crystal egg -- The star -- The man who could work miracles -- A vision of judgment -- Jimmy Goggles the God -- Miss Winchelsea's heart -- A dream of Armageddon -- The valley of spiders -- The new accelerator -- The truth about Pyecraft -- The magic shop -- The empire of the ants -- The door in the wall -- The country of the blind -- The beautiful suit.
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Science fiction, English"
Category,Text
EBook-No.,11870
Release Date,"Apr 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,654 downloads in the last 30 days.
Price,$0.00
