Author,"Wells, H. G. (Herbert George), 1866-1946"
Title,"The Door in the Wall, and Other Stories"
Contents,The door in the wall -- The star -- A dream of Armageddon -- The cone -- A moonlight fable -- The diamond maker -- The Lord of the Dynamos -- The Country of the Blind.
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Short stories, Science fiction, English, Fantasy fiction, English"
Category,Text
EBook-No.,456
Release Date,"Mar 1, 1996"
Copyright Status,Public domain in the USA.
Downloads,878 downloads in the last 30 days.
Price,$0.00
