Author,Various
Editor,"Hornig, Charles D., 1916-1999"
Title,"The Fantasy Fan, September 1933The Fan's Own Magazine"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Fantasy fiction -- History and criticism -- Periodicals, Fan magazines, Fantasy fiction -- Periodicals"
Category,Text
EBook-No.,46222
Release Date,"Jul 8, 2014"
Copyright Status,Public domain in the USA.
Downloads,114 downloads in the last 30 days.
Price,$0.00
