Author,"Burroughs, Edgar Rice, 1875-1950"
Title,The Gods of Mars
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Mars (Planet) -- Fiction, Life on other planets -- Fiction, Carter, John (Fictitious character) -- Fiction, Dejah Thoris (Fictitious character) -- Fiction"
Category,Sound
EBook-No.,8749
Release Date,"Aug 1, 2005"
Copyright Status,Copyrighted. Read the copyright notice inside this book for details.
Downloads,55 downloads in the last 30 days.
Price,$0.00
