Author,"Garrett, Randall, 1927-1987, Silverberg, Robert, 1935-"
Title,The Judas Valley
Note,"This work was published under the name Gerald Vance, a pseudonym used by Randall Garrett, Robert Silverberg, Henry Slesar and Roger P. Graham.  The Internet Speculative Fiction Database attributes ""The Judas Valley"" to Randall Garrett and Robert Silverberg."
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,Science fiction
Category,Text
EBook-No.,25713
Release Date,"Jun 7, 2008"
Copyright Status,Public domain in the USA.
Downloads,52 downloads in the last 30 days.
Price,$0.00
