Author,"Doyle, Arthur Conan, 1859-1930"
Title,The Lost World
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Challenger, Professor (Fictitious character) -- Fiction, Fantasy fiction, South America -- Fiction, Prehistoric peoples -- Fiction, Dinosaurs -- Fiction"
Category,Sound
EBook-No.,8614
Release Date,"Aug 1, 2005"
Copyright Status,Copyrighted. Read the copyright notice inside this book for details.
Downloads,53 downloads in the last 30 days.
Price,$0.00
