Author,"Wallace, F. L. (Floyd L.), 1915-2004"
Illustrator,"Ashman, William"
Title,The Man Who Was Six
Alternate Title,The Man Who Was 6
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Husband and wife -- Fiction, Accident victims -- Fiction, Identity -- Fiction, Amnesiacs -- Fiction"
Category,Text
EBook-No.,51295
Release Date,"Feb 24, 2016"
Copyright Status,Public domain in the USA.
Downloads,31 downloads in the last 30 days.
Price,$0.00
