Author,"Verne, Jules, 1828-1905"
Title,The Moon-Voyage
Contents,From The Earth To The Moon -- Round The Moon.
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Science fiction, Space flight to the moon -- Fiction, Moon -- Fiction, Space ships -- Fiction, Manned space flight -- Fiction"
Category,Text
EBook-No.,12901
Release Date,"Jul 12, 2004"
Copyright Status,Public domain in the USA.
Downloads,42 downloads in the last 30 days.
Price,$0.00
