Author,"Evans, E. Everett (Edward Everett), 1893-1958"
Title,The Planet Mappers
Alternate Title,The Planet Mappers: An Adventure Story of the Space World of Tomorrow
Language,English
LoC Class,PZ: Language and Literatures: Juvenile belles lettres
Subject,"Science fiction, Pirates -- Juvenile fiction, Families -- Juvenile fiction, Space flight -- Juvenile fiction"
Category,Text
EBook-No.,50682
Release Date,"Dec 13, 2015"
Copyright Status,Public domain in the USA.
Downloads,40 downloads in the last 30 days.
Price,$0.00
