Author,"Smith, Evelyn E., 1922-2000"
Illustrator,"Kossin, Sandy"
Title,The Princess and the Physicist
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Scientists -- Fiction, Princesses -- Fiction, Space colonies -- Fiction, Gods -- Fiction, Extrasolar planets -- Fiction"
Category,Text
EBook-No.,51126
Release Date,"Feb 4, 2016"
Copyright Status,Public domain in the USA.
Downloads,48 downloads in the last 30 days.
Price,$0.00
