Author,"Rockwell, Carey"
Contributor,"Ley, Willy, 1906-1969"
Illustrator,"Glanzman, Louis"
LoC No.,54008561
Title,The Revolt on Venus
Language,English
LoC Class,PZ: Language and Literatures: Juvenile belles lettres
Subject,"Science fiction, Astronauts -- Juvenile fiction, Interplanetary voyages -- Juvenile fiction, Corbett, Tom (Fictitious character) -- Juvenile fiction, Space colonies -- Juvenile fiction, Venus (Planet) -- Juvenile fiction"
Category,Text
EBook-No.,19027
Release Date,"Aug 11, 2006"
Copyright Status,Public domain in the USA.
Downloads,60 downloads in the last 30 days.
Price,$0.00
