Author,"Wells, H. G. (Herbert George), 1866-1946"
Title,The Sleeper AwakesA Revised Edition of When the Sleeper Wakes
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Science fiction, London (England) -- Fiction, Time travel -- Fiction, Twenty-first century -- Fiction, Dystopias -- Fiction, Technological innovations -- Fiction"
Category,Text
EBook-No.,12163
Release Date,"Apr 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,279 downloads in the last 30 days.
Price,$0.00
