Author,"Wells, H. G. (Herbert George), 1866-1946"
Title,The Stolen Bacillus and Other Incidents
Contents,"The stolen bacillus -- The flowering of the strange orchid -- In the Avu observatory -- The triumphs of a taxidermist -- A deal in ostriches -- Through a window -- The temptation of Harringay -- The flying man -- The diamond maker -- Aepyornis Island -- The remarkable case of Davidson's eyes -- The lord of the dynamos -- The Hammerpond Park burglary -- A moth: ""Genus novo"" -- The treasure in the forest."
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Science fiction, English, Short stories, English"
Category,Text
EBook-No.,12750
Release Date,"Jun 26, 2004"
Copyright Status,Public domain in the USA.
Downloads,162 downloads in the last 30 days.
Price,$0.00
