Author,"Rockwell, Carey"
Contributor,"Ley, Willy, 1906-1969"
Illustrator,"Glanzman, Louis"
LoC No.,54004974
Title,Treachery in Outer Space
Language,English
LoC Class,PZ: Language and Literatures: Juvenile belles lettres
Subject,"Science fiction, Astronauts -- Juvenile fiction, Interplanetary voyages -- Juvenile fiction, Corbett, Tom (Fictitious character) -- Juvenile fiction, Space ships -- Juvenile fiction"
Category,Text
EBook-No.,18786
Release Date,"Jul 8, 2006"
Copyright Status,Public domain in the USA.
Downloads,29 downloads in the last 30 days.
Price,$0.00
