Author,"Wells, H. G. (Herbert George), 1866-1946"
Title,Twelve Stories and a Dream
Alternate Title,12 Stories and a Dream
Contents,Filmer -- The magic shop -- The valley of spiders -- The truth about Pyecraft -- Mr. Skelmersdale in fairyland -- The story of the inexperienced ghost -- Jimmy Goggles the god -- The new accelerator -- Mr. Ledbetter's vacation -- The stolen body -- Mr. Brisher's treasure -- Miss Winchelsea's heart -- A dream of Armageddon.
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Short stories, Science fiction, English"
Category,Text
EBook-No.,1743
Release Date,"May 1, 1999"
Copyright Status,Public domain in the USA.
Downloads,244 downloads in the last 30 days.
Price,$0.00
