Author,"Verne, Jules, 1828-1905"
Illustrator,"Winter, Milo, 1888-1956"
Translator,"Walter, Frederick Paul, 1943-"
Uniform Title,Vingt mille lieues sous les mers. English
Title,Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World
Alternate Title,"20,000 Leagues Under the Seas: An Underwater Tour of the World"
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Science fiction, Submarines (Ships) -- Fiction, Sea stories, Adventure stories, Underwater exploration -- Fiction"
Category,Text
EBook-No.,2488
Release Date,"Jan 1, 2001"
Copyright Status,Copyrighted. Read the copyright notice inside this book for details.
Downloads,1254 downloads in the last 30 days.
Price,$0.00
