Author,"Wells, H. G. (Herbert George), 1866-1946"
Title,When the Sleeper Wakes
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Science fiction, London (England) -- Fiction, Time travel -- Fiction, Twenty-first century -- Fiction, Dystopias -- Fiction, Technological innovations -- Fiction"
Category,Sound
EBook-No.,8978
Release Date,"Sep 1, 2005"
Copyright Status,Copyrighted. Read the copyright notice inside this book for details.
Downloads,45 downloads in the last 30 days.
Price,$0.00
