Author,"Kipling, Rudyard, 1865-1936"
Illustrator,"Leyendecker, Frank X., 1877-1924, Reuterdahl, Henry, 1871-1925"
LoC No.,09008570
Title,"With the Night Mail: A Story of 2000 A.D.(Together with extracts from the comtemporary magazine in which it appeared)"
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Science fiction, Aeronautics -- Fiction"
Category,Text
EBook-No.,29135
Release Date,"Jun 16, 2009"
Copyright Status,Public domain in the USA.
Downloads,102 downloads in the last 30 days.
Price,$0.00
