Author,"Lovecraft, H. P. (Howard Phillips), 1890-1937"
Contributor,"Kleiner, Rheinhart, Lockhart, Andrew Francis, Long, Frank Belknap, 1903-1994"
Title,"Writings in the United Amateur, 1915-1922"
Contents,"United Amateur Press Association: Exponent of Amateur Journalism -- Department of Public Criticism -- March -- Little Journeys to the Homes of Prominent Amateurs, by Lockhart -- The Teuton's Battle-Song, by Lodbrog -- An Epistle to Rheinhart Kleiner, Esq., Poet-Laureate, and Author of ""Another Endless Day"" -- The Alchemist -- Ode for July Fourth, 1917 -- News Notes: To M. W. M. -- A Reminiscence of Dr. Samuel Johnson, by Littlewit -- Reports of Officers: President's Message -- Sunset -- Astrophobos, by Phillips -- At the Root -- Department of Literature: The Literature of Rome -- To Alan Seeger -- Theodore Roosevelt -- A Note on Howard P. Lovecraft's Verse, by Kleiner -- Helene Hoffman Cole—Litterateur -- Americanism -- The White Ship -- To Mistress Sophia Simple, Queen of the Cinema, by Theobald -- Literary Composition -- For What Does the United Stand? -- Poetry and the Gods, by Crofts and Paget-Lowe -- Nyarlathotep -- Editorial -- Winifred Virginia Jackson: A ""Different"" Poetess -- Ex Oblivione, by Phillips -- At the Home of Poe, by Long."
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Essays, Literature -- History and criticism, Periodicals"
Category,Text
EBook-No.,30637
Release Date,"Dec 9, 2009"
Copyright Status,Public domain in the USA.
Downloads,340 downloads in the last 30 days.
Price,$0.00
