Author,"Irving, Washington, 1783-1859"
Title,"Astoria; Or, Anecdotes of an Enterprise Beyond the Rocky Mountains"
Language,English
LoC Class,"F850.5: United States local history: Pacific States, PS: Language and Literatures: American and Canadian literature"
Subject,"Astoria (Or.), Overland journeys to the Pacific, Fur trade -- Oregon, Northwestern States -- Description and travel, Pacific Fur Company, Voyages to the Pacific coast"
Category,Text
EBook-No.,1371
Release Date,"Feb 19, 2006"
Copyright Status,Public domain in the USA.
Downloads,210 downloads in the last 30 days.
Price,$0.00
