Author,"Beach, Rex, 1877-1949"
Title,Laughing Bill Hyde and Other Stories
Contents,"Laughing Bill Hyde -- The north wind's malice -- His stock in trade -- With bridges burned -- With interest to date -- The cub reporter -- Out of the night -- The real and the make-believe -- Running Elk -- The moon, the maid, and the winged shoes -- Flesh."
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Fiction, Short stories, Western stories"
Category,Text
EBook-No.,11501
Release Date,"Mar 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,34 downloads in the last 30 days.
Price,$0.00
