Author,"Beach, Rex, 1877-1949"
Title,Pardners
Contents,"Pardners -- The mule driver and the garrulous mute -- The colonel and the horse-thief -- The thaw at Slisco's -- Bitter Root Billings, arbiter -- The shyness of Shorty -- The test -- North of fifty-three -- Where northern lights come down o' nights -- The scourge."
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Short stories, Western stories, Frontier and pioneer life -- West (U.S.) -- Fiction, West (U.S.) -- Social life and customs -- Fiction"
Category,Text
EBook-No.,13135
Release Date,"Aug 8, 2004"
Copyright Status,Public domain in the USA.
Downloads,32 downloads in the last 30 days.
Price,$0.00
