Author,"Carnegie, David Wynford, 1871-1900"
Title,"Spinifex and SandA Narrative of Five Years' Pioneering and Exploration in Western Ausralia"
Language,English
LoC Class,DU: History: General and Eastern Hemisphere: History of Oceania (South Seas)
Subject,"Western Australia -- Description and travel, Gold mines and mining -- Australia -- Western Australia, Carnegie, David Wynford, 1871-1900"
Category,Text
EBook-No.,4975
Release Date,"Jan 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,49 downloads in the last 30 days.
Price,$0.00
