Author,"Wister, Owen, 1860-1938"
Title,"The Jimmyjohn Boss, and Other Stories"
Contents,The Jimmyjohn boss -- A kinsman of Red Cloud -- Sharon's choice -- Napoleon Shave-Tail -- Twenty minutes for refreshments -- The promised land -- Hank's woman -- Padre Ognazio
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Western stories, Frontier and pioneer life -- West (U.S.) -- Fiction, West (U.S.) -- Social life and customs -- Fiction"
Category,Text
EBook-No.,1390
Release Date,"Jul 1, 1998"
Copyright Status,Public domain in the USA.
Downloads,146 downloads in the last 30 days.
Price,$0.00
