Author,"Bower, B. M., 1871-1940"
Title,The Lonesome Trail and Other Stories
Contents,The lonesome trail -- First aid to cupid -- When the cook fell ill -- The lamb -- The spirit of the range -- The reveler -- The unheavenly twins.
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Fiction, Western stories"
Category,Text
EBook-No.,14542
Release Date,"Dec 31, 2004"
Copyright Status,Public domain in the USA.
Downloads,27 downloads in the last 30 days.
Price,$0.00
