Author,"Grey, Zane, 1872-1939"
Title,"The Redheaded Outfield, and Other Baseball Stories"
Contents,The redheaded outfield -- The rube -- The rube's pennant -- The rube's honeymoon -- The rube's Waterloo -- Breaking into fast company -- The knocker -- The winning ball -- False colors -- The manager of Madden's Hill -- Old Well-well.
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Fiction, Short stories, Baseball stories, American"
Category,Text
EBook-No.,385
Release Date,"Jan 1, 1996"
Copyright Status,Public domain in the USA.
Downloads,44 downloads in the last 30 days.
Price,$0.00
